date,1. open,2. high,3. low,4. close,5. volume,
2020-09-24,17.85,18.13,17.42,17.96,7451872.0,
2020-09-23,18.37,18.45,17.76,17.76,5635964.0,
2020-09-22,18.36,18.46,18.0,18.24,4816309.0,
2020-09-21,18.42,18.53,17.98,18.36,4674856.0,
2020-09-18,18.47,19.12,18.45,18.79,11655510.0,
2020-09-17,17.88,18.59,17.605,18.43,6893627.0,
2020-09-16,17.81,18.13,17.73,18.06,4346285.0,
2020-09-15,18.09,18.135,17.62,17.79,3703311.0,
2020-09-14,17.89,18.08,17.72,17.95,4414186.0,
2020-09-11,17.4,17.8499,17.255,17.8,7266184.0,
2020-09-10,17.54,17.645,17.31,17.36,2736965.0,
2020-09-09,17.55,17.735,17.325,17.54,2988929.0,
2020-09-08,17.5,17.53,17.21,17.41,4264801.0,
2020-09-04,17.75,17.8,17.125,17.57,4318221.0,
2020-09-03,18.25,18.34,17.53,17.69,4419101.0,
2020-09-02,17.92,18.25,17.73,18.18,4967338.0,
2020-09-01,17.65,17.955,17.562,17.91,3914341.0,
2020-08-31,17.93,17.985,17.67,17.75,4074718.0,
2020-08-28,17.89,17.96,17.57,17.9,4775013.0,
2020-08-27,17.78,18.01,17.7,17.91,3515416.0,
2020-08-26,17.89,17.91,17.58,17.73,3181346.0,
2020-08-25,18.17,18.17,17.65,17.89,2839361.0,
2020-08-24,18.12,18.18,17.91,18.07,3912251.0,
2020-08-21,18.0,18.16,17.82,18.02,5183430.0,
2020-08-20,17.4,18.0699,17.26,17.95,5172258.0,
2020-08-19,17.74,17.97,17.58,17.62,2614785.0,
2020-08-18,17.59,17.89,17.49,17.74,4635073.0,
2020-08-17,17.6,17.8,17.485,17.67,4249474.0,
2020-08-14,17.71,17.71,17.44,17.57,4269273.0,
2020-08-13,17.29,17.99,17.16,17.79,7945746.0,
2020-08-12,16.99,17.625,16.775,17.26,5144376.0,
2020-08-11,17.73,17.86,16.96,16.98,5873685.0,
2020-08-10,17.33,17.72,16.92,17.59,5848720.0,
2020-08-07,16.43,17.3,16.37,17.16,8627785.0,
2020-08-06,15.35,16.81,15.25,16.55,9526863.0,
2020-08-05,15.6,15.6704,15.21,15.4,6051907.0,
2020-08-04,15.11,15.53,14.98,15.47,5566648.0,
2020-08-03,15.22,15.22,14.95,15.12,3456977.0,
2020-07-31,15.23,15.255,14.83,15.23,4069208.0,
2020-07-30,15.38,15.48,15.14,15.42,3175353.0,
2020-07-29,15.27,15.625,15.23,15.56,4142603.0,
2020-07-28,15.13,15.38,15.125,15.2,3343963.0,
2020-07-27,15.39,15.405,15.015,15.25,5329337.0,
2020-07-24,15.72,15.84,15.31,15.4,4226584.0,
2020-07-23,15.65,15.9,15.58,15.68,4130378.0,
2020-07-22,15.24,15.72,14.89,15.6,6716521.0,
2020-07-21,15.4,15.81,15.31,15.42,5172800.0,
2020-07-20,15.52,15.53,15.15,15.26,5591900.0,
2020-07-17,14.87,15.72,14.77,15.63,8238800.0,
2020-07-16,15.06,15.17,14.82,14.88,3706000.0,
