date,1. open,2. high,3. low,4. close,5. volume,
2020-09-24,49.8,50.31,49.417,49.93,1247853.0,
2020-09-23,50.22,50.425,49.79,49.83,1196571.0,
2020-09-22,49.67,50.47,49.6425,50.01,1322581.0,
2020-09-21,50.3371,50.77,48.89,49.83,1805014.0,
2020-09-18,52.02,52.11,50.88,50.98,2342514.0,
2020-09-17,52.77,52.77,51.785,52.18,1167305.0,
2020-09-16,52.75,53.67,52.45,53.06,1480903.0,
2020-09-15,52.79,53.555,52.595,52.76,1518031.0,
2020-09-14,52.12,52.57,51.84,52.33,2245957.0,
2020-09-11,52.11,52.26,51.515,51.86,2009747.0,
2020-09-10,53.51,53.885,52.03,52.08,1977901.0,
2020-09-09,52.96,54.46,52.96,53.78,2710318.0,
2020-09-08,53.28,53.4,52.31,52.65,1838963.0,
2020-09-04,54.2,54.385,52.66,53.29,1763447.0,
2020-09-03,54.85,55.15,53.57,53.97,1611554.0,
2020-09-02,53.47,54.85,53.21,54.66,2170296.0,
2020-09-01,54.01,54.07,53.25,53.48,995998.0,
2020-08-31,54.09,54.6,54.015,54.15,1349312.0,
2020-08-28,54.05,54.35,53.5575,54.32,836191.0,
2020-08-27,54.47,54.87,53.795,54.0,907722.0,
2020-08-26,54.32,54.34,53.32,54.04,1402760.0,
2020-08-25,55.06,55.07,54.14,54.25,875681.0,
2020-08-24,54.27,54.69,53.6,54.65,838895.0,
2020-08-21,53.81,54.2,53.16,54.08,943750.0,
2020-08-20,53.5,54.13,53.15,53.62,882873.0,
2020-08-19,53.81,54.06,53.465,53.82,975874.0,
2020-08-18,53.79,54.01,53.31,53.65,799269.0,
2020-08-17,54.04,54.47,53.69,53.9,1131154.0,
2020-08-14,54.08,54.405,53.65,53.77,688286.0,
2020-08-13,54.1,54.13,53.4,53.98,1181681.0,
2020-08-12,53.95,54.44,53.55,53.93,884490.0,
2020-08-11,55.6,55.6,53.49,53.66,911397.0,
2020-08-10,55.03,55.59,54.64,55.35,1130605.0,
2020-08-07,52.57,55.12,52.22,54.72,1476025.0,
2020-08-06,52.76,53.45,52.35,53.34,1278324.0,
2020-08-05,54.12,54.17,52.75,52.87,1709948.0,
2020-08-04,53.54,54.13,53.41,53.8,1176004.0,
2020-08-03,53.73,53.84,52.8332,53.51,785851.0,
2020-07-31,53.63,53.9,53.01,53.85,1198189.0,
2020-07-30,53.22,53.95,52.63,53.77,1030929.0,
2020-07-29,53.79,54.11,53.5,54.01,640643.0,
2020-07-28,52.79,53.94,52.5791,53.62,1108571.0,
2020-07-27,53.01,53.13,52.36,52.87,1234564.0,
2020-07-24,53.45,54.0,52.81,53.12,1418448.0,
2020-07-23,52.7,53.44,52.67,53.25,1600244.0,
2020-07-22,50.35,52.61,50.27,52.55,1449417.0,
2020-07-21,50.39,51.43,50.26,50.73,1159100.0,
2020-07-20,50.55,50.9,50.25,50.45,801600.0,
2020-07-17,50.0,50.83,49.87,50.77,1328200.0,
2020-07-16,49.31,49.94,49.25,49.73,870600.0,
