date,open,high,low,close,volume,Name,
2018-02-06,67.22,68.91,66.55,68.48,2013102,PNR,
2018-02-05,71.01,71.34,68.2,68.28,1859974,PNR,
2018-02-02,71.84,72.14,71.15,71.24,1359906,PNR,
2018-02-01,71.0,72.32,70.41,72.16,1192183,PNR,
2018-01-31,74.05,74.05,70.87,71.5,1955792,PNR,
2018-01-30,70.2,72.02,68.2,71.65,2939471,PNR,
2018-01-29,73.66,74.395,73.3,73.81,1553905,PNR,
2018-01-26,73.73,74.13,73.38,74.02,637028,PNR,
2018-01-25,73.47,73.96,72.66,73.35,816417,PNR,
2018-01-24,73.68,73.98,73.04,73.45,989411,PNR,
2018-01-23,73.24,73.36,72.45,73.17,1319205,PNR,
2018-01-22,73.87,73.97,72.95,73.94,673016,PNR,
2018-01-19,73.86,74.66,73.53,73.98,774349,PNR,
2018-01-18,73.65,73.75,73.3,73.56,731971,PNR,
2018-01-17,74.0,74.0,73.35,73.58,851783,PNR,
2018-01-16,74.0,74.84,73.39,73.56,712897,PNR,
2018-01-12,74.27,74.47,73.6,73.76,1429150,PNR,
2018-01-11,73.62,74.29,73.4122,74.13,680471,PNR,
2018-01-10,72.79,73.68,72.37,73.41,980662,PNR,
2018-01-09,72.46,73.15,72.26,72.88,666357,PNR,
2018-01-08,72.69,72.845,72.17,72.59,649507,PNR,
2018-01-05,72.71,72.78,72.06,72.66,737926,PNR,
2018-01-04,70.88,72.61,70.8,72.55,1006316,PNR,
2018-01-03,70.23,70.86,70.01,70.8,1069868,PNR,
2018-01-02,71.0,71.46,69.9,70.23,1006582,PNR,
2017-12-29,70.34,70.95,70.055,70.62,661264,PNR,
2017-12-28,69.75,70.34,69.38,70.14,647111,PNR,
2017-12-27,69.43,69.54,69.15,69.4,460706,PNR,
2017-12-26,69.9,69.9,69.3,69.38,234446,PNR,
2017-12-22,69.91,70.41,69.49,69.73,378443,PNR,
2017-12-21,69.9,70.45,69.715,70.17,502209,PNR,
2017-12-20,69.77,70.165,69.48,69.78,680842,PNR,
2017-12-19,68.92,69.52,68.67,69.19,963758,PNR,
2017-12-18,69.02,69.27,68.53,68.89,1397193,PNR,
2017-12-15,69.27,69.34,68.0,68.17,1680047,PNR,
2017-12-14,69.7,69.865,68.83,68.84,1114601,PNR,
2017-12-13,69.55,70.17,69.27,69.64,1163372,PNR,
2017-12-12,69.77,70.52,69.64,69.68,1100410,PNR,
2017-12-11,69.82,70.3525,69.69,69.77,824961,PNR,
2017-12-08,69.68,70.47,69.54,69.95,799488,PNR,
2017-12-07,69.07,69.82,68.975,69.42,947998,PNR,
2017-12-06,68.26,69.5,68.26,69.23,1474310,PNR,
2017-12-05,69.31,69.31,68.41,68.55,736974,PNR,
2017-12-04,70.7,70.9,69.16,69.16,929968,PNR,
2017-12-01,71.4,71.76,69.36,70.19,1050867,PNR,
2017-11-30,69.73,71.31,69.71,71.16,1810572,PNR,
2017-11-29,69.27,69.44,68.76,69.32,1480561,PNR,
2017-11-28,69.39,69.53,68.95,69.32,2153021,PNR,
2017-11-27,69.11,69.3,68.84,69.11,654657,PNR,
2017-11-24,69.8,69.93,68.98,69.16,173177,PNR,
