date,open,high,low,close,volume,Name,
2018-02-06,87.78,91.12,86.75,90.46,6335047,VLO,
2018-02-05,91.84,93.66,82.9,89.77,7072852,VLO,
2018-02-02,94.19,95.85,92.74,93.19,4656726,VLO,
2018-02-01,96.42,96.87,92.6964,94.69,5032298,VLO,
2018-01-31,94.55,96.43,94.46,95.97,5334042,VLO,
2018-01-30,95.82,96.02,92.11,94.34,4338765,VLO,
2018-01-29,98.63,98.63,96.19,96.39,2787105,VLO,
2018-01-26,97.56,98.75,97.39,98.69,2122211,VLO,
2018-01-25,98.19,98.19,96.881,97.18,2725312,VLO,
2018-01-24,99.93,99.95,96.98,97.66,3109532,VLO,
2018-01-23,99.31,99.31,98.06,98.69,2120302,VLO,
2018-01-22,97.62,99.1,97.43,98.95,2441159,VLO,
2018-01-19,96.77,97.29,96.25,97.26,2368832,VLO,
2018-01-18,97.11,97.23,95.98,96.46,2489440,VLO,
2018-01-17,96.46,98.11,96.29,97.56,2940671,VLO,
2018-01-16,96.85,97.55,95.66,96.15,3052475,VLO,
2018-01-12,94.91,97.0,94.71,96.75,2873350,VLO,
2018-01-11,94.59,94.61,93.61,94.55,2679658,VLO,
2018-01-10,93.81,94.65,93.56,94.15,2391786,VLO,
2018-01-09,94.76,94.96,94.0,94.1,3884922,VLO,
2018-01-08,94.13,94.37,93.4,94.22,2493352,VLO,
2018-01-05,93.6,94.3,93.43,94.03,2973820,VLO,
2018-01-04,93.41,93.62,92.64,93.59,2976998,VLO,
2018-01-03,92.58,93.47,92.5,93.29,3057571,VLO,
2018-01-02,92.19,93.14,91.71,92.8,3582862,VLO,
2017-12-29,92.69,93.18,91.91,91.91,2343843,VLO,
2017-12-28,92.39,92.58,91.75,92.3,1835741,VLO,
2017-12-27,91.82,92.49,91.57,92.14,2388260,VLO,
2017-12-26,91.25,92.05,91.24,91.86,1442920,VLO,
2017-12-22,90.94,91.5,90.8,91.13,1837180,VLO,
2017-12-21,90.42,91.12,89.84,90.72,3004208,VLO,
2017-12-20,88.89,90.48,88.28,90.16,3506644,VLO,
2017-12-19,88.99,89.205,88.01,88.07,2953483,VLO,
2017-12-18,88.78,89.17,88.21,88.93,3432978,VLO,
2017-12-15,87.64,88.4,87.5,88.19,6579312,VLO,
2017-12-14,87.77,88.43,87.43,87.48,3635764,VLO,
2017-12-13,86.77,88.1,86.6,87.45,3111953,VLO,
2017-12-12,87.4,87.695,86.8,86.94,2515284,VLO,
2017-12-11,87.38,88.115,86.87,87.2,2853831,VLO,
2017-12-08,86.27,87.73,85.96,87.6,3533297,VLO,
2017-12-07,84.79,85.68,84.65,85.59,2128948,VLO,
2017-12-06,85.48,85.97,84.565,84.97,2975920,VLO,
2017-12-05,83.91,86.42,83.91,85.78,4197347,VLO,
2017-12-04,84.56,85.43,83.5,83.63,4049389,VLO,
2017-12-01,85.37,85.7796,82.52,84.17,4123184,VLO,
2017-11-30,83.83,85.86,83.36,85.62,5521846,VLO,
2017-11-29,83.19,83.65,82.5,83.34,2752868,VLO,
2017-11-28,82.33,83.47,81.84,83.24,3015255,VLO,
2017-11-27,82.22,82.35,81.59,82.12,3073467,VLO,
2017-11-24,82.68,82.85,82.06,82.25,1623414,VLO,
