date,open,high,low,close,volume,Name,
2018-02-06,106.49,112.65,104.61,112.62,3144823,ADSK,
2018-02-05,110.6,116.15,109.18,109.18,2890782,ADSK,
2018-02-02,114.12,115.14,111.6,111.64,1808333,ADSK,
2018-02-01,114.72,117.7,114.08,115.57,1596444,ADSK,
2018-01-31,115.65,116.64,114.9,115.62,1119824,ADSK,
2018-01-30,115.46,116.35,113.77,115.02,1556378,ADSK,
2018-01-29,117.7,118.47,116.19,116.38,1058818,ADSK,
2018-01-26,117.55,118.85,117.12,117.78,1836290,ADSK,
2018-01-25,117.95,118.42,116.57,116.87,1690379,ADSK,
2018-01-24,118.91,119.24,116.64,116.9,2221706,ADSK,
2018-01-23,117.14,119.07,116.501,118.73,1985443,ADSK,
2018-01-22,115.25,118.45,114.025,117.43,2905877,ADSK,
2018-01-19,112.96,115.91,112.37,115.29,2804201,ADSK,
2018-01-18,112.28,114.15,112.05,112.55,1625153,ADSK,
2018-01-17,112.88,113.1,111.06,113.0,2932163,ADSK,
2018-01-16,116.24,117.08,111.72,111.98,2698986,ADSK,
2018-01-12,113.57,116.09,113.07,115.91,2553043,ADSK,
2018-01-11,111.67,113.96,111.47,113.26,2715967,ADSK,
2018-01-10,111.71,112.61,110.55,111.47,1645019,ADSK,
2018-01-09,111.57,112.31,110.65,112.11,1848859,ADSK,
2018-01-08,110.42,111.74,109.04,111.42,1782074,ADSK,
2018-01-05,113.07,113.35,110.41,110.84,2384231,ADSK,
2018-01-04,110.13,112.21,109.23,112.07,2158663,ADSK,
2018-01-03,107.0,109.78,106.99,109.38,1953782,ADSK,
2018-01-02,105.34,107.16,104.3861,107.12,2040702,ADSK,
2017-12-29,105.04,105.65,104.5301,104.83,1068392,ADSK,
2017-12-28,104.66,105.22,104.2,105.07,870897,ADSK,
2017-12-27,103.97,105.199,103.48,104.58,1111843,ADSK,
2017-12-26,103.45,104.15,103.19,103.8,1322563,ADSK,
2017-12-22,104.85,104.85,103.78,103.89,1534573,ADSK,
2017-12-21,105.58,105.6699,103.65,104.43,3920749,ADSK,
2017-12-20,106.02,106.02,104.19,105.03,2513900,ADSK,
2017-12-19,107.24,107.84,105.37,105.39,1861975,ADSK,
2017-12-18,108.66,109.43,107.28,107.48,2362554,ADSK,
2017-12-15,106.55,108.93,106.47,108.4,2704189,ADSK,
2017-12-14,105.95,107.12,105.95,106.25,1504151,ADSK,
2017-12-13,107.03,107.89,105.51,106.02,1982883,ADSK,
2017-12-12,106.32,107.98,105.58,106.33,2026067,ADSK,
2017-12-11,106.87,107.95,106.15,106.83,2412343,ADSK,
2017-12-08,109.6,110.17,106.69,107.16,3124700,ADSK,
2017-12-07,106.2,110.18,106.0,109.61,3074229,ADSK,
2017-12-06,105.73,107.83,105.73,106.92,1686633,ADSK,
2017-12-05,107.91,109.49,106.55,106.59,3002528,ADSK,
2017-12-04,108.0,108.69,105.16,107.95,3985983,ADSK,
2017-12-01,108.81,110.12,106.29,107.06,4922928,ADSK,
2017-11-30,109.64,111.579,106.54,109.7,8480972,ADSK,
2017-11-29,114.03,114.46,106.2,109.34,19486960,ADSK,
2017-11-28,130.76,131.1,127.49,129.95,4976594,ADSK,
2017-11-27,130.19,130.92,129.26,130.24,2337226,ADSK,
2017-11-24,127.74,129.54,127.65,129.5,1013550,ADSK,
