date,open,high,low,close,volume,Name,
2018-02-06,114.91,120.46,114.33,119.92,1275637,SJM,
2018-02-05,118.99,121.16,116.63,116.63,1145576,SJM,
2018-02-02,125.26,125.51,119.89,120.12,1481681,SJM,
2018-02-01,126.47,126.67,124.98,126.03,1136232,SJM,
2018-01-31,127.66,127.96,126.29,126.89,4547084,SJM,
2018-01-30,128.75,130.15,126.98,127.46,969452,SJM,
2018-01-29,130.07,131.745,129.2,129.42,943487,SJM,
2018-01-26,129.55,131.13,129.19,131.06,839376,SJM,
2018-01-25,127.98,132.76,127.93,129.55,2091136,SJM,
2018-01-24,128.24,128.62,126.03,126.94,1084215,SJM,
2018-01-23,126.98,128.54,126.41,128.04,815923,SJM,
2018-01-22,126.96,127.83,126.64,127.38,569632,SJM,
2018-01-19,126.1,127.66,125.69,127.53,807376,SJM,
2018-01-18,125.53,126.21,124.53,125.68,857054,SJM,
2018-01-17,124.52,126.98,124.52,125.84,673181,SJM,
2018-01-16,124.04,124.809,123.63,124.01,723522,SJM,
2018-01-12,123.52,123.82,122.8,123.43,617956,SJM,
2018-01-11,124.47,124.65,122.87,123.15,659018,SJM,
2018-01-10,125.82,126.265,123.78,124.16,1354219,SJM,
2018-01-09,126.52,127.45,126.16,126.79,1314322,SJM,
2018-01-08,125.62,126.74,125.06,126.69,1045729,SJM,
2018-01-05,124.71,125.62,123.89,125.55,663202,SJM,
2018-01-04,123.83,124.86,123.35,124.39,787197,SJM,
2018-01-03,123.75,123.96,122.705,123.4,1321063,SJM,
2018-01-02,124.38,124.59,122.78,123.72,871969,SJM,
2017-12-29,124.74,125.68,124.23,124.24,495440,SJM,
2017-12-28,124.88,124.96,123.79,124.89,493562,SJM,
2017-12-27,125.27,125.8425,124.36,124.79,476821,SJM,
2017-12-26,125.1,126.02,125.02,125.27,479284,SJM,
2017-12-22,124.35,125.95,124.28,125.22,691558,SJM,
2017-12-21,123.52,124.61,123.24,123.91,959553,SJM,
2017-12-20,120.8,123.7,120.5,123.42,1123811,SJM,
2017-12-19,121.71,123.19,120.805,121.47,1327381,SJM,
2017-12-18,121.04,121.23,119.55,120.61,927848,SJM,
2017-12-15,119.63,120.17,118.6,119.44,1299191,SJM,
2017-12-14,117.71,118.97,117.44,118.52,1002234,SJM,
2017-12-13,117.93,118.86,117.59,118.15,579711,SJM,
2017-12-12,117.83,118.75,117.32,117.95,943942,SJM,
2017-12-11,118.06,118.83,116.79,117.26,1048413,SJM,
2017-12-08,118.93,118.93,117.52,118.61,713536,SJM,
2017-12-07,118.47,119.19,117.91,118.47,717126,SJM,
2017-12-06,117.84,119.35,117.3493,118.91,755161,SJM,
2017-12-05,119.46,119.93,117.245,117.46,1387770,SJM,
2017-12-04,116.12,119.53,115.7001,119.39,1446869,SJM,
2017-12-01,116.6,116.6,114.32,115.61,1154862,SJM,
2017-11-30,117.9,119.72,115.86,116.67,1382693,SJM,
2017-11-29,114.84,119.32,114.84,117.66,1508262,SJM,
2017-11-28,113.19,114.98,112.47,114.93,846568,SJM,
2017-11-27,111.74,113.28,111.494,113.25,708082,SJM,
2017-11-24,113.24,113.27,111.18,111.37,595463,SJM,
