date,open,high,low,close,volume,Name,
2018-02-06,244.44,254.12,242.51,250.18,3366219,FDX,
2018-02-05,252.48,259.13,248.36,248.5,2315389,FDX,
2018-02-02,260.58,261.24,255.72,255.87,1655040,FDX,
2018-02-01,258.15,265.67,257.33,261.83,2318110,FDX,
2018-01-31,263.7,267.1699,261.66,262.48,1764603,FDX,
2018-01-30,266.54,266.84,259.51,261.46,2455420,FDX,
2018-01-29,267.5,270.55,267.27,267.69,1153346,FDX,
2018-01-26,268.51,269.0,265.69,268.85,1522166,FDX,
2018-01-25,271.1,271.1,266.77,268.04,1603518,FDX,
2018-01-24,272.44,272.88,268.82,270.41,1421651,FDX,
2018-01-23,273.95,273.95,271.32,272.02,1182783,FDX,
2018-01-22,273.05,274.099,271.3033,273.89,1006320,FDX,
2018-01-19,272.78,274.38,269.82,274.32,1420389,FDX,
2018-01-18,272.27,274.66,270.65,272.18,1903072,FDX,
2018-01-17,270.64,271.9,268.05,271.49,1378092,FDX,
2018-01-16,272.27,273.16,267.21,269.58,1668575,FDX,
2018-01-12,271.25,271.8999,269.56,271.85,1342885,FDX,
2018-01-11,268.5,271.2,267.625,271.19,1652140,FDX,
2018-01-10,265.3,268.72,263.62,268.01,1644391,FDX,
2018-01-09,270.0,270.999,267.0,267.75,1648259,FDX,
2018-01-08,268.9,270.17,266.89,268.66,1955961,FDX,
2018-01-05,266.25,271.3899,263.62,265.92,2863948,FDX,
2018-01-04,262.29,266.2239,262.0,264.88,2600402,FDX,
2018-01-03,257.26,261.57,256.006,260.82,2149593,FDX,
2018-01-02,250.83,257.6,250.0,257.6,2461269,FDX,
2017-12-29,249.0,250.6975,248.58,249.54,1162186,FDX,
2017-12-28,250.0,250.62,247.271,248.32,1003400,FDX,
2017-12-27,250.26,250.35,248.81,250.03,890153,FDX,
2017-12-26,250.4,251.25,249.211,249.64,756520,FDX,
2017-12-22,250.38,251.55,249.17,250.02,1341233,FDX,
2017-12-21,254.89,255.11,248.76,250.17,3257133,FDX,
2017-12-20,252.665,253.24,246.6,251.07,5898126,FDX,
2017-12-19,241.74,243.52,240.35,242.54,2329991,FDX,
2017-12-18,243.24,243.75,241.095,241.91,1977905,FDX,
2017-12-15,240.02,241.74,239.56,240.05,2226987,FDX,
2017-12-14,242.28,242.8186,238.31,238.5,1537532,FDX,
2017-12-13,240.39,243.48,239.5,242.02,1204769,FDX,
2017-12-12,238.65,241.37,238.02,239.5,1731060,FDX,
2017-12-11,240.86,241.1099,237.26,238.61,1422999,FDX,
2017-12-08,240.14,241.0,238.81,240.73,1196574,FDX,
2017-12-07,236.41,240.28,235.75,239.3,1232244,FDX,
2017-12-06,234.65,237.77,233.67,236.39,1523356,FDX,
2017-12-05,238.3,239.51,235.0666,235.4,1592130,FDX,
2017-12-04,234.77,243.06,233.79,239.05,3049697,FDX,
2017-12-01,231.72,232.99,226.17,230.84,1809890,FDX,
2017-11-30,227.33,233.89,227.33,231.46,2789065,FDX,
2017-11-29,218.92,226.48,218.77,225.93,1881797,FDX,
2017-11-28,218.82,218.92,216.71,218.51,1647654,FDX,
2017-11-27,217.11,218.36,216.36,217.87,1245096,FDX,
2017-11-24,219.0,219.1,216.345,217.0,703642,FDX,
