date,open,high,low,close,volume,Name,
2018-02-06,110.33,114.2,109.6,113.96,2391951,PPG,
2018-02-05,115.29,117.12,111.62,111.98,2484634,PPG,
2018-02-02,117.28,117.455,115.51,115.61,1659166,PPG,
2018-02-01,118.16,118.77,115.57,117.62,1393930,PPG,
2018-01-31,118.87,119.07,118.2,118.73,1400063,PPG,
2018-01-30,119.2,119.66,117.78,118.35,1172346,PPG,
2018-01-29,120.91,121.65,119.38,119.57,1332232,PPG,
2018-01-26,120.5,121.5,119.62,121.47,1686798,PPG,
2018-01-25,119.76,120.775,118.97,120.21,2489366,PPG,
2018-01-24,117.54,119.12,117.35,118.94,1985506,PPG,
2018-01-23,116.51,118.11,116.51,117.25,1731728,PPG,
2018-01-22,118.26,118.66,116.36,116.78,1672586,PPG,
2018-01-19,118.05,119.13,116.53,118.44,2953303,PPG,
2018-01-18,115.75,122.0697,115.155,118.41,3736596,PPG,
2018-01-17,116.6,117.04,114.28,114.5,3855085,PPG,
2018-01-16,118.56,118.99,116.17,116.64,2373757,PPG,
2018-01-12,118.01,118.595,117.67,118.17,1466325,PPG,
2018-01-11,116.69,117.86,116.12,117.57,1290302,PPG,
2018-01-10,117.97,118.33,116.31,116.61,1382306,PPG,
2018-01-09,119.05,119.175,118.15,118.22,1012770,PPG,
2018-01-08,119.0,119.185,118.49,118.72,1260148,PPG,
2018-01-05,117.74,119.05,117.49,118.92,959574,PPG,
2018-01-04,118.66,119.76,117.32,117.47,1226061,PPG,
2018-01-03,118.0,118.81,117.14,118.19,929811,PPG,
2018-01-02,116.98,118.0,116.81,118.0,935225,PPG,
2017-12-29,117.34,117.68,116.82,116.82,867713,PPG,
2017-12-28,116.69,117.17,116.23,117.17,533215,PPG,
2017-12-27,116.46,116.63,116.02,116.49,548021,PPG,
2017-12-26,116.4,116.459,116.08,116.28,491308,PPG,
2017-12-22,116.07,116.525,115.9,116.19,574938,PPG,
2017-12-21,116.67,116.89,116.04,116.18,645172,PPG,
2017-12-20,116.68,117.19,116.11,116.16,1030407,PPG,
2017-12-19,116.46,116.93,116.0,116.31,1182687,PPG,
2017-12-18,115.465,116.53,115.36,116.13,1205097,PPG,
2017-12-15,114.69,115.49,114.31,115.09,2537296,PPG,
2017-12-14,116.62,116.62,113.26,113.82,1834927,PPG,
2017-12-13,116.08,116.96,116.02,116.25,1292135,PPG,
2017-12-12,115.74,116.25,115.34,115.89,2037387,PPG,
2017-12-11,116.06,116.46,114.73,115.68,948848,PPG,
2017-12-08,116.24,116.43,115.72,115.92,786147,PPG,
2017-12-07,116.03,116.6925,115.89,116.11,1128638,PPG,
2017-12-06,116.6,117.18,116.03,116.19,893462,PPG,
2017-12-05,117.37,117.64,116.65,116.75,1004510,PPG,
2017-12-04,117.9,118.92,116.83,117.56,1337199,PPG,
2017-12-01,117.31,117.59,114.9,115.93,1540781,PPG,
2017-11-30,117.1,118.5,116.6,116.85,2045070,PPG,
2017-11-29,117.48,117.735,116.54,117.01,1157004,PPG,
2017-11-28,116.26,117.42,116.26,117.34,1832379,PPG,
2017-11-27,115.95,116.375,115.71,115.85,1196328,PPG,
2017-11-24,115.81,116.53,115.655,116.1,438775,PPG,
