date,open,high,low,close,volume,Name,
2018-02-06,15.16,15.66,15.09,15.53,29742716,HBAN,
2018-02-05,15.91,16.17,15.42,15.43,20177758,HBAN,
2018-02-02,16.31,16.53,16.03,16.08,12434608,HBAN,
2018-02-01,16.14,16.35,16.14,16.34,12872434,HBAN,
2018-01-31,16.13,16.25,16.1,16.18,9993934,HBAN,
2018-01-30,16.1,16.26,16.06,16.1,8264494,HBAN,
2018-01-29,16.22,16.3,16.1732,16.23,7159568,HBAN,
2018-01-26,16.14,16.21,16.08,16.21,8683795,HBAN,
2018-01-25,16.18,16.23,16.02,16.05,12549592,HBAN,
2018-01-24,16.13,16.23,15.925,16.11,12994443,HBAN,
2018-01-23,16.05,16.325,15.88,16.04,24556311,HBAN,
2018-01-22,15.83,16.05,15.75,16.03,10999700,HBAN,
2018-01-19,15.54,15.81,15.52,15.81,9001578,HBAN,
2018-01-18,15.81,15.855,15.5,15.51,9854459,HBAN,
2018-01-17,15.75,15.8,15.54,15.76,9992424,HBAN,
2018-01-16,16.0,16.0,15.585,15.68,10524209,HBAN,
2018-01-12,15.7,15.85,15.65,15.85,7951779,HBAN,
2018-01-11,15.55,15.66,15.47,15.63,6850310,HBAN,
2018-01-10,15.38,15.69,15.3,15.48,8935423,HBAN,
2018-01-09,15.02,15.39,14.97,15.23,6983775,HBAN,
2018-01-08,14.91,15.01,14.85,14.95,11481418,HBAN,
2018-01-05,14.91,15.01,14.86,14.98,9988323,HBAN,
2018-01-04,14.88,14.91,14.75,14.85,15114254,HBAN,
2018-01-03,14.64,14.79,14.5588,14.72,15133740,HBAN,
2018-01-02,14.71,14.75,14.49,14.6,13410958,HBAN,
2017-12-29,14.73,14.76,14.54,14.56,7305747,HBAN,
2017-12-28,14.63,14.74,14.55,14.74,6961507,HBAN,
2017-12-27,14.65,14.71,14.51,14.59,5264392,HBAN,
2017-12-26,14.74,14.88,14.57,14.63,4436854,HBAN,
2017-12-22,14.88,14.88,14.65,14.78,4921753,HBAN,
2017-12-21,14.7,14.92,14.65,14.84,6335219,HBAN,
2017-12-20,14.76,14.83,14.57,14.64,9899698,HBAN,
2017-12-19,14.78,14.78,14.61,14.61,13655432,HBAN,
2017-12-18,14.73,14.83,14.54,14.68,10669663,HBAN,
2017-12-15,14.36,14.8,14.28,14.58,18245192,HBAN,
2017-12-14,14.67,14.67,14.35,14.44,10346395,HBAN,
2017-12-13,14.84,14.91,14.56,14.58,7884288,HBAN,
2017-12-12,14.7,14.93,14.61,14.81,9383315,HBAN,
2017-12-11,14.83,14.865,14.575,14.62,7732906,HBAN,
2017-12-08,14.82,14.85,14.62,14.85,6531504,HBAN,
2017-12-07,14.5,14.77,14.43,14.71,7786014,HBAN,
2017-12-06,14.49,14.73,14.415,14.52,11095684,HBAN,
2017-12-05,14.73,14.79,14.43,14.46,8689087,HBAN,
2017-12-04,14.71,14.93,14.64,14.7,9743982,HBAN,
2017-12-01,14.45,14.53,13.92,14.44,14848775,HBAN,
2017-11-30,14.58,14.77,14.37,14.4,13866081,HBAN,
2017-11-29,14.1,14.58,14.09,14.48,14562408,HBAN,
2017-11-28,13.54,13.99,13.51,13.97,11494522,HBAN,
2017-11-27,13.45,13.58,13.43,13.5,5934586,HBAN,
2017-11-24,13.6,13.635,13.46,13.46,2257258,HBAN,
